ts,swod_hold_cnt,swod_success_release_cnt,swod_timeout_release_cnt,swod_pressure_release_cnt,swod_held_groups,swod_skip_cnt,back,mem_available_kb,min_mem_available_kb
2026-04-08 07:37:14,0,0,0,0,0,0,36163131,191748140,191667156
2026-04-08 07:37:16,0,0,0,0,0,0,35151931,191746316,191667156
2026-04-08 07:37:17,0,0,0,0,0,0,31512744,191747704,191667156
2026-04-08 07:37:18,0,0,0,0,0,0,31418748,191748936,191667156
2026-04-08 07:37:19,0,0,0,0,0,0,31318694,191747692,191667156
2026-04-08 07:37:20,0,0,0,0,0,0,31220629,191749060,191667156
2026-04-08 07:37:21,0,0,0,0,0,0,31113990,191748584,191667156
2026-04-08 07:37:22,0,0,0,0,0,0,31002321,191749964,191667156
2026-04-08 07:37:23,0,0,0,0,0,0,30887723,191749524,191667156
2026-04-08 07:37:24,0,0,0,0,0,0,30772547,191749596,191667156
2026-04-08 07:37:25,0,0,0,0,0,0,30647118,191749664,191667156
2026-04-08 07:37:26,0,0,0,0,0,0,30520855,191749608,191667156
2026-04-08 07:37:27,0,0,0,0,0,0,30393394,191793756,191667156
